node_id,timestamp,voc_mv,co_mv,pm1_0,pm2_5,pm10,temperature,humidity,label_index,label
node_01,1780739243,2260.0,2882.0,14.0,29.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739244,2271.0,2882.0,14.0,29.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739245,2261.0,2881.0,14.0,29.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739246,2266.0,2880.0,13.0,28.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739247,2260.0,2882.0,13.0,28.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739248,2266.0,2881.0,13.0,29.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739249,2261.0,2882.0,14.0,30.0,30.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739250,2271.0,2880.0,15.0,30.0,30.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739251,2259.0,2881.0,14.0,29.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739252,2266.0,2881.0,14.0,29.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739253,2261.0,2881.0,14.0,29.0,29.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739254,2264.0,2882.0,14.0,30.0,30.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739255,2260.0,2880.0,14.0,30.0,30.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739256,2270.0,2880.0,14.0,30.0,30.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739257,2261.0,2881.0,14.0,30.0,30.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739258,2265.0,2883.0,14.0,30.0,30.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739259,2260.0,2881.0,14.0,30.0,30.0,25.8,67.6,2,vehicle_exhaust
node_01,1780739260,2265.0,2882.0,14.0,29.0,29.0,25.8,67.6,2,vehicle_exhaust
node_01,1780739262,2260.0,2880.0,14.0,29.0,30.0,25.8,67.6,2,vehicle_exhaust
