voc_mv,co_mv,pm1_0,pm2_5,pm10,temperature,humidity,label_index,label
2150.0,2740.0,0.0,0.0,0.0,24.8,65.0,0,normal_air
2152.0,2737.0,0.0,0.0,0.0,24.9,65.0,0,normal_air
2152.0,2741.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2159.0,2739.0,0.0,0.0,0.0,24.8,65.0,0,normal_air
2144.0,2741.0,0.0,0.0,0.0,24.9,65.0,0,normal_air
2159.0,2738.0,0.0,0.0,0.0,24.9,65.0,0,normal_air
2146.0,2739.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2150.0,2739.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2151.0,2737.0,0.0,0.0,0.0,24.9,64.7,0,normal_air
2143.0,2740.0,0.0,0.0,0.0,24.9,64.8,0,normal_air
2157.0,2740.0,0.0,0.0,0.0,24.9,64.8,0,normal_air
2143.0,2738.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2160.0,2739.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2150.0,2740.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2151.0,2737.0,0.0,0.0,0.0,24.9,65.0,0,normal_air
2153.0,2739.0,0.0,0.0,0.0,24.9,64.8,0,normal_air
2146.0,2740.0,0.0,0.0,0.0,24.9,64.8,0,normal_air
2150.0,2739.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2143.0,2739.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2159.0,2738.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2150.0,2738.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2146.0,2741.0,0.0,0.0,0.0,24.9,64.8,0,normal_air
2152.0,2740.0,0.0,0.0,0.0,24.9,65.0,0,normal_air
2143.0,2739.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2145.0,2737.0,0.0,0.0,0.0,24.9,64.8,0,normal_air
2160.0,2738.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2144.0,2739.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2150.0,2739.0,0.0,0.0,0.0,24.9,64.8,0,normal_air
2145.0,2739.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
2145.0,2741.0,0.0,0.0,0.0,24.9,64.9,0,normal_air
